bin,Step Time,Average Waiting Time
"(0, 600]",300.5,10.415166666666668
"(600, 1200]",900.5,5.09285
"(1200, 1800]",1500.5,3.7221333333333337
"(1800, 2400]",2100.5,3.2724333333333333
"(2400, 3000]",2700.5,2.8992
"(3000, 3600]",3300.5,2.6046666666666667
"(3600, 4200]",3900.5,3.0401166666666666
"(4200, 4800]",4500.5,2.715533333333333
"(4800, 5400]",5100.5,2.4846333333333335
"(5400, 6000]",5700.5,2.3893
"(6000, 6600]",6300.5,2.264283333333333
"(6600, 7200]",6900.5,2.1514166666666665
"(7200, 7800]",7500.5,2.5277166666666666
"(7800, 8400]",8100.5,2.51635
"(8400, 9000]",8700.5,2.5227
"(9000, 9600]",9300.5,2.5518666666666663
"(9600, 10200]",9900.5,2.5502999999999996
"(10200, 10800]",10500.5,2.5328333333333335
"(10800, 11400]",11100.5,2.7546666666666666
"(11400, 12000]",11700.5,2.7302833333333334
"(12000, 12600]",12300.5,2.7216
"(12600, 13200]",12900.5,2.735966666666667
"(13200, 13800]",13500.5,2.7332666666666667
"(13800, 14400]",14100.5,2.7128833333333335
"(14400, 15000]",14700.5,2.865816666666667
"(15000, 15600]",15300.5,2.8543999999999996
"(15600, 16200]",15900.5,2.8487833333333334
"(16200, 16800]",16500.5,2.8531833333333334
"(16800, 17400]",17100.5,2.8495
"(17400, 18000]",17700.5,2.8289
"(18000, 18600]",18300.5,3.042466666666667
"(18600, 19200]",18900.5,3.0554166666666664
"(19200, 19800]",19500.5,3.0434166666666664
"(19800, 20400]",20100.5,3.04495
"(20400, 21000]",20700.5,3.0346666666666664
"(21000, 21600]",21300.5,3.0155666666666665
"(21600, 22200]",21900.5,3.09875
"(22200, 22800]",22500.5,3.0823833333333335
"(22800, 23400]",23100.5,3.0643999999999996
"(23400, 24000]",23700.5,3.0566999999999998
"(24000, 24600]",24300.5,3.0426166666666665
"(24600, 25200]",24900.5,3.0209666666666664
"(25200, 25800]",25500.5,3.0464666666666664
"(25800, 26400]",26100.5,3.02295
"(26400, 27000]",26700.5,3.003816666666667
"(27000, 27600]",27300.5,2.987216666666667
"(27600, 28200]",27900.5,2.9695833333333335
"(28200, 28800]",28500.5,2.9483166666666665
"(28800, 29400]",29100.5,3.0780333333333334
"(29400, 30000]",29700.5,3.17295
"(30000, 30600]",30300.5,3.1894833333333334
"(30600, 31200]",30900.5,3.195266666666667
"(31200, 31800]",31500.5,3.2054
"(31800, 32400]",32100.5,3.2027666666666668
"(32400, 33000]",32700.5,3.2774
"(33000, 33600]",33300.5,3.2809666666666666
"(33600, 34200]",33900.5,3.27715
"(34200, 34800]",34500.5,3.2817333333333334
"(34800, 35400]",35100.5,3.279383333333333
"(35400, 36000]",35700.5,3.279533333333333
"(36000, 36600]",36300.5,3.3724666666666665
"(36600, 37200]",36900.5,3.3974
"(37200, 37800]",37500.5,3.4078666666666666
"(37800, 38400]",38100.5,3.4281499999999996
"(38400, 39000]",38700.5,3.4431000000000003
"(39000, 39600]",39300.5,3.44225
"(39600, 40200]",39900.5,3.5385833333333334
"(40200, 40800]",40500.5,3.7376666666666667
"(40800, 41400]",41100.5,4.041566666666667
"(41400, 42000]",41700.5,4.46915
"(42000, 42600]",42300.5,5.010566666666667
"(42600, 43200]",42900.5,5.640933333333333
"(43200, 43800]",43500.5,6.41865
"(43800, 44400]",44100.5,7.5510166666666665
"(44400, 45000]",44700.5,9.0966
"(45000, 45600]",45300.5,10.983733333333333
"(45600, 46200]",45900.5,13.17835
"(46200, 46800]",46500.5,15.730683333333333
"(46800, 47400]",47100.5,18.6779
"(47400, 48000]",47700.5,21.879066666666667
"(48000, 48600]",48300.5,25.19335
"(48600, 49200]",48900.5,28.6506
"(49200, 49800]",49500.5,32.2538
"(49800, 50400]",50100.5,35.98375
"(50400, 51000]",50700.5,39.8528
"(51000, 51600]",51300.5,43.885799999999996
"(51600, 52200]",51900.5,47.726800000000004
"(52200, 52800]",52500.5,50.87365
"(52800, 53400]",53100.5,53.30226666666667
"(53400, 54000]",53700.5,55.035783333333335
