bin,Step Time,Collisions
"(0, 900]",450.5,0.0
"(900, 1800]",1350.5,0.0
"(1800, 2700]",2250.5,0.0
"(2700, 3600]",3150.5,0.0
"(3600, 4500]",4050.5,0.0
"(4500, 5400]",4950.5,0.0
"(5400, 6300]",5850.5,0.0
"(6300, 7200]",6750.5,0.0
"(7200, 8100]",7650.5,0.0
"(8100, 9000]",8550.5,0.0
"(9000, 9900]",9450.5,0.0
"(9900, 10800]",10350.5,0.0
"(10800, 11700]",11250.5,0.0
"(11700, 12600]",12150.5,0.0
"(12600, 13500]",13050.5,0.0
"(13500, 14400]",13950.5,0.0
"(14400, 15300]",14850.5,0.0
"(15300, 16200]",15750.5,0.0
"(16200, 17100]",16650.5,0.0
"(17100, 18000]",17550.5,0.0
"(18000, 18900]",18450.5,0.0
"(18900, 19800]",19350.5,0.0
"(19800, 20700]",20250.5,0.0
"(20700, 21600]",21150.5,0.0
"(21600, 22500]",22050.5,0.0
"(22500, 23400]",22950.5,0.0
"(23400, 24300]",23850.5,0.0
"(24300, 25200]",24750.5,0.0
"(25200, 26100]",25650.5,0.0
"(26100, 27000]",26550.5,0.0
"(27000, 27900]",27450.5,0.0
"(27900, 28800]",28350.5,0.0
"(28800, 29700]",29250.5,0.0
"(29700, 30600]",30150.5,0.0
"(30600, 31500]",31050.5,0.0
"(31500, 32400]",31950.5,0.0
"(32400, 33300]",32850.5,0.0
"(33300, 34200]",33750.5,0.0
"(34200, 35100]",34650.5,0.0
"(35100, 36000]",35550.5,0.0
"(36000, 36900]",36450.5,0.0
"(36900, 37800]",37350.5,0.0
"(37800, 38700]",38250.5,0.0
"(38700, 39600]",39150.5,0.0
"(39600, 40500]",40050.5,0.0
"(40500, 41400]",40950.5,0.0
"(41400, 42300]",41850.5,0.0
"(42300, 43200]",42750.5,0.0
"(43200, 44100]",43650.5,0.0
"(44100, 45000]",44550.5,0.0
"(45000, 45900]",45450.5,0.0
"(45900, 46800]",46350.5,0.0
"(46800, 47700]",47250.5,0.0
"(47700, 48600]",48150.5,0.0
"(48600, 49500]",49050.5,0.0
"(49500, 50400]",49950.5,0.0
"(50400, 51300]",50850.5,0.0
"(51300, 52200]",51750.5,0.0
"(52200, 53100]",52650.5,0.0
"(53100, 54000]",53550.5,0.0
